UID          PID    PPID  C STIME TTY          TIME CMD
dan         1425    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
dan         1429    1372  0 23:24 ?        00:00:00 /usr/libexec/goa-daemon
dan         1436    1372  0 23:24 ?        00:00:00 /usr/libexec/goa-identity-service
dan         1442    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
dan         1447    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
dan         1452    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
dan         1464    1364  0 23:24 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
dan         1466    1464  0 23:24 tty2     00:00:05 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
dan         1488    1464  0 23:24 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
dan         1558       1  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --clipboard
dan         1559    1558  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --clipboard
dan         1570       1  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --seamless
dan         1571    1570  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --seamless
dan         1575       1  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
dan         1576    1575  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
dan         1582       1  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
dan         1583    1582  0 23:24 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
dan         1592    1488  0 23:24 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
dan         1624    1372  0 23:24 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
dan         1629    1624  0 23:24 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
dan         1658    1372  0 23:24 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
dan         1665    1372  0 23:24 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
dan         1679    1372  2 23:24 ?        00:00:12 /usr/bin/gnome-shell
dan         1712    1679  0 23:24 ?        00:00:00 ibus-daemon --panel disable --xim
dan         1716    1712  0 23:24 ?        00:00:00 /usr/libexec/ibus-dconf
dan         1717    1712  0 23:24 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
dan         1719    1372  0 23:24 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
dan         1721    1372  0 23:24 ?        00:00:00 /usr/libexec/ibus-portal
